episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,player_name,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
1393,9627,"[2, 3, 3, 0, 2]",0.0,5,5,10,5,10,not_applicable,False,0,0,"{'base': 0.32, 'final': 0.32, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,3,3,4,7,5,6,3,11,3,5,10,7,13,6,13,7,11,8,11
1393,9628,"[5, 1, 1, 3, 3]",0.0,6,8,13,8,13,not_applicable,False,0,0,"{'base': 0.52, 'final': 0.52, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,5,4,3,3,7,4,6,4,11,4,5,10,8,13,7,13,7,12,8,12
1393,9629,"[3, 2, 0, 1, 3]",0.0,6,8,13,8,13,not_applicable,False,0,0,"{'base': 0.52, 'final': 0.52, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,5,5,3,2,7,3,6,5,11,3,5,11,8,13,6,13,7,12,8,12
1393,9630,"[2, 5, 1, 0, 2]",0.0,7,7,13,7,13,not_applicable,False,0,0,"{'base': 0.38, 'final': 0.38, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,5,6,2,2,7,2,6,4,10,3,5,10,8,13,7,13,6,12,8,11
1393,9631,"[1, 3, 0, 1, 1]",0.0,7,6,13,6,13,not_applicable,False,0,0,"{'base': 0.39, 'final': 0.39, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,5,5,2,3,6,2,6,3,10,2,6,10,8,13,6,13,7,12,9,11
1393,9632,"[1, 2, 1, 1, 1]",0.0,7,7,13,7,13,not_applicable,False,0,0,"{'base': 0.38, 'final': 0.38, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,5,6,2,2,7,2,6,2,9,2,7,10,8,12,7,13,7,12,10,11
1393,9633,"[1, 2, 2, 0, 1]",0.0,7,7,13,7,13,not_applicable,False,0,0,"{'base': 0.38, 'final': 0.38, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,4,6,1,2,7,3,6,1,9,3,8,10,8,11,7,13,6,12,11,11
1393,9634,"[1, 1, 5, 3, 0]",0.0,6,9,11,9,11,not_applicable,False,0,0,"{'base': 0.44, 'final': 0.44, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,3,6,0,2,7,2,7,1,9,2,9,10,9,11,7,13,6,13,10,11
1393,9635,"[2, 1, 1, 2, 2]",0.0,6,9,11,9,11,not_applicable,False,0,0,"{'base': 0.44, 'final': 0.44, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,3,5,0,1,7,3,7,2,9,1,9,9,9,11,8,13,6,12,10,10
1393,9636,"[2, 0, 0, 3, 1]",0.0,6,8,11,8,11,not_applicable,False,0,0,"{'base': 0.52, 'final': 0.52, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,3,6,0,0,7,4,7,1,10,1,9,8,8,11,7,13,6,13,11,10
1393,9637,"[0, 0, 1, 0, 2]",0.0,6,7,11,7,11,not_applicable,False,0,0,"{'base': 0.46, 'final': 0.46, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,3,5,1,0,7,3,8,1,10,0,8,8,7,11,8,13,5,13,11,9
1393,9638,"[3, 4, 0, 1, 3]",1.3799999952316284,6,7,11,7,11,shot_successful,True,3,0,"{'base': 0.46, 'final': 0.46, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,3,6,0,0,7,4,8,2,10,1,8,9,7,11,7,13,6,13,11,10
1394,9639,"[3, 1, 3, 2, 2]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,6,4,6,3,8,4,10,3,5,13,6,13,7,13,8,12,9,12
1394,9640,"[5, 3, 3, 1, 3]",0.0,6,6,13,6,13,not_applicable,False,0,0,"{'base': 0.42, 'final': 0.42, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,5,3,7,4,7,3,8,5,10,2,5,13,6,13,7,13,8,12,9,13
1394,9641,"[0, 2, 0, 2, 1]",0.0,6,6,12,6,12,not_applicable,False,0,0,"{'base': 0.42, 'final': 0.42, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,5,2,6,4,7,4,8,4,10,3,4,13,6,12,6,13,8,11,10,13
