episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
70,353,"[2, 1, 3, 1, 4]",0.0,9,9,13,9,13,shot_failed,True,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",2,1,5,3,7,2,8,4,12,1,6,11,6,12,7,11,8,12,9,13
71,354,"[3, 1, 0, 2, 1]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,5,3,7,4,8,4,9,2,5,13,6,13,7,13,8,12,10,13
71,355,"[1, 1, 0, 1, 0]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,5,5,2,7,5,9,4,9,1,5,13,6,13,7,13,9,12,9,13
71,356,"[1, 0, 3, 3, 0]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",6,5,5,3,7,4,9,3,9,0,5,13,6,13,7,13,9,12,8,13
71,357,"[5, 2, 0, 0, 1]",0.0,9,9,13,9,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,5,5,4,7,3,9,2,8,0,5,13,6,12,6,13,8,12,9,13
71,358,"[2, 0, 3, 2, 0]",0.0,9,8,13,8,13,not_applicable,False,0,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,6,5,5,7,2,8,2,8,1,5,12,6,12,6,13,8,11,8,13
71,359,"[0, 0, 1, 2, 4]",0.61894690990448,9,8,13,8,13,shot_successful,True,3,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,6,6,5,7,3,8,3,8,0,4,12,5,12,7,13,8,10,8,13
72,360,"[3, 3, 0, 3, 3]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,2,6,2,6,3,8,4,10,3,5,13,6,13,7,13,8,13,9,13
72,361,"[0, 0, 3, 3, 0]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,3,6,1,6,4,7,4,9,3,4,13,5,13,7,13,8,13,9,13
72,362,"[0, 3, 0, 3, 2]",0.0,5,3,13,3,13,not_applicable,False,0,0,"{'base': np.float64(0.19091176472502752), 'final': np.float64(0.19091176472502752), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,3,5,1,6,5,7,3,10,3,3,13,5,13,6,13,8,13,9,12
